stakingProvider,amount,amountDeauthorizing,relativeAmount,endDeauth,endCommitment,commitment,minDeauthDate
0xf3fa0e2c9f22654a7e07c2529e62447776482df3,40002,40002,0.0017,2025-04-14 13:53:59,,No,2025-04-14 13:53:59
0x064ae11966cd24ae08ad5282c9027836e2d1c47d,40000,0,0.0017,,,No,2025-07-31 14:07:14
0x0154c52ec5b6a3010758dde78079589e67526767,40000,0,0.0017,,2024-12-25 12:36:47,Expired,2025-07-31 14:07:14
0x649a71ee65766f0f505cc721462ff8919259f125,40000,40000,0.0017,2025-03-15 14:49:35,,No,2025-03-15 14:49:35
0x2b1d879b5e102e60166202de79537b48e2f18a42,40000,0,0.0017,,,No,2025-07-31 14:07:14
0x915f4982be76becac16c2a2715584903e52a11ae,0,0,0.0,,,No,2025-07-31 14:07:14
0xa1f21ceddc5aa845d5246968fe3a51972ade12c8,0,0,0.0,,,No,2025-07-31 14:07:14
0x02a527084f5e73af7781846762c8753acd096461,0,0,0.0,,,No,2025-07-31 14:07:14
0x70d5ccc14a1a264c05ff48b3ec6751b0959541aa,0,0,0.0,,,No,2025-07-31 14:07:14
0x5aadfec6a407f6730a4cfac54b472b23d42a718d,0,0,0.0,,,No,2025-07-31 14:07:14
0x05ceb20f181b67969c311d882a9dbe2bd17e45ac,0,0,0.0,,,No,2025-07-31 14:07:14
0x7e15f9b79eb5be562bb8cf17885fc0c32e4fdde9,0,0,0.0,,,No,2025-07-31 14:07:14
0x3d1677c20e7e0d20b4361fa9d361dbf2da5891a1,0,0,0.0,,,No,2025-07-31 14:07:14
0xc2d6d0e0b2b33b46f1e9351cd80faf2bce47ce1a,0,0,0.0,,,No,2025-07-31 14:07:14
0x46400c7d7817663c9356f16b480057673f8b1162,0,0,0.0,,,No,2025-07-31 14:07:14
0x5018fe99451b5af8df795b6189e2920b65ad7c1c,0,0,0.0,,,No,2025-07-31 14:07:14
0x7ed2675e0ced7340089ab2acb1c8d6e2337c9ae8,0,0,0.0,,,No,2025-07-31 14:07:14
0x7f08f8b61cf2f1ce922caa9e6fbc57c7cb8a66e7,0,0,0.0,,,No,2025-07-31 14:07:14
0x0c635dc500222af8a12072922c6ac5a4fc536fac,0,0,0.0,,2024-06-18 20:40:35,Expired,2025-07-31 14:07:14
0x55fc5dda6b03d3ca89237ec34e5a657c4e8c6153,0,0,0.0,,,No,2025-07-31 14:07:14
0x9919c9f5cbbaa42cb3bea153e14e16f85fea5b5d,0,0,0.0,,,No,2025-07-31 14:07:14
0x0e41c798212c8219a173dac6f326827a00ac7849,0,0,0.0,,,No,2025-07-31 14:07:14
0x98e39a1129bdfbc4ef389139310f6d1b80c61cbb,0,0,0.0,,,No,2025-07-31 14:07:14
0x560a69123b0c0220ba6bceb63d33b0bf9fb723fb,0,0,0.0,,,No,2025-07-31 14:07:14
0xe5086a552d79fe2501684697240cd533485e8835,0,0,0.0,,,No,2025-07-31 14:07:14
0x8d34285c047d5d8757551baa45e471e62e72f468,0,0,0.0,,,No,2025-07-31 14:07:14
0x8e57f002866706fcfbdf78756dc45f93841dc783,0,0,0.0,,,No,2025-07-31 14:07:14
0x8e6c5bb502a92f0ed8d8cdfaf83f2841e68c1c7f,0,0,0.0,,,No,2025-07-31 14:07:14
0xe2395a9a76bdcd1e4c65f8f5a7f8c99b53f6c843,0,0,0.0,,,No,2025-07-31 14:07:14
0x37b9f33dba2595bac4bd275ac93dc679ee45d988,0,0,0.0,,,No,2025-07-31 14:07:14
0xddf2a1f9f5031b75772eaf8ff6178859177a722c,0,0,0.0,,,No,2025-07-31 14:07:14
0x17ede21b60c44a0139968e0d1d9a001d2bdc8f85,0,0,0.0,,,No,2025-07-31 14:07:14
0xbe9d12fc853b67cfdaae134e5b8178b9667bd2fb,0,0,0.0,,2024-06-25 11:57:59,Expired,2025-07-31 14:07:14
