stakingProvider,amount,relativeAmount,minDeauthDate,commitment,ritual34?,ritual40?
0xc373956fefaff488103475f77a5190bfea9baf1d,142620,0.0001,2025-02-28 01:48:23,No,False,False
0x8ea9ab079eaca83f3ab9e1aa0d62a60a3fa8e163,139523,0.0001,2025-07-31 16:09:56,Expired,False,False
0x4cff511301c6859b074cf89d17ec23b8537a5576,135562,0.0001,2026-01-10 00:26:35,Active,False,False
0x0b76598e9ddd53237fa1632ddbfc8db1a2c7d897,129422,0.0001,2025-07-31 16:09:56,No,False,False
0xc8a6bfe0834fb99340a0df253d79b7cae25053b8,122482,0.0001,2025-07-31 16:09:56,No,False,False
0xb0151d256ee16d847f080691c3529f316b2d54b3,103313,0.0,2024-10-20 22:47:35,No,False,False
0x44e5472f15aaa10afefc4c9ec9e873a3aa092e45,102033,0.0,2025-07-31 16:09:56,No,False,False
0x3070f20f86fda706ac380f5060d256028a46ec29,100712,0.0,2025-07-31 16:09:56,Expired,True,False
0xe8316911b0f9edd928d58b63ff619888077ad713,52956,0.0,2025-07-31 16:09:56,No,False,False
0xbe994cf43f52fd73fe45ced29f06d1b08bd1709a,50228,0.0,2025-05-14 14:56:47,No,False,False
0xf38d178cd7e0bc346dd1cec1c5e21ee214dd891d,50132,0.0,2025-02-13 00:51:11,Expired,False,False
0x4bc6b29f272048b32bd833797a70049c3885225b,49965,0.0,2025-07-31 16:09:56,No,False,False
0x87828b06b60c1dc33b31aee2a1b825c6b6fbb70b,49400,0.0,2025-06-28 00:37:11,No,False,False
0xb0b975ac6a2a8c8d6829880be6a9f2b209311827,45000,0.0,2025-07-31 16:09:56,No,False,False
0xd8c27199708ddc919aa40d0803d530d6dfafcbcf,44417,0.0,2025-07-17 09:53:35,No,False,False
0x500a4689455c6bb01e1140fe3f85ae683503851e,42000,0.0,2025-07-29 10:05:23,No,False,False
0xf3feafa241ebf6781057de4406ed486fa91b1585,40557,0.0,2025-02-22 18:16:59,No,False,False
0x8a490f3b460c7d6d29f850b403cfd9eea4d819d5,40165,0.0,2025-07-31 16:09:56,No,False,False
0x0ff1b589fe2113c72da3fe0402e1c284359fff89,40051,0.0,2025-04-04 17:21:47,No,False,False
0xf3fa0e2c9f22654a7e07c2529e62447776482df3,40002,0.0,2025-04-14 13:53:59,No,False,False
0x064ae11966cd24ae08ad5282c9027836e2d1c47d,40000,0.0,2025-07-31 16:09:56,No,False,False
0x0154c52ec5b6a3010758dde78079589e67526767,40000,0.0,2025-07-31 16:09:56,Expired,False,False
0x649a71ee65766f0f505cc721462ff8919259f125,40000,0.0,2025-03-15 14:49:35,No,False,False
0x2b1d879b5e102e60166202de79537b48e2f18a42,40000,0.0,2025-07-31 16:09:56,No,False,False
0x915f4982be76becac16c2a2715584903e52a11ae,0,0.0,2025-07-31 16:09:56,No,False,False
0xa1f21ceddc5aa845d5246968fe3a51972ade12c8,0,0.0,2025-07-31 16:09:56,No,False,False
0x02a527084f5e73af7781846762c8753acd096461,0,0.0,2025-07-31 16:09:56,No,False,False
0x70d5ccc14a1a264c05ff48b3ec6751b0959541aa,0,0.0,2025-07-31 16:09:56,No,False,False
0x5aadfec6a407f6730a4cfac54b472b23d42a718d,0,0.0,2025-07-31 16:09:56,No,False,False
0x05ceb20f181b67969c311d882a9dbe2bd17e45ac,0,0.0,2025-07-31 16:09:56,No,False,False
0x7e15f9b79eb5be562bb8cf17885fc0c32e4fdde9,0,0.0,2025-07-31 16:09:56,No,False,False
0x3d1677c20e7e0d20b4361fa9d361dbf2da5891a1,0,0.0,2025-07-31 16:09:56,No,False,False
0xc2d6d0e0b2b33b46f1e9351cd80faf2bce47ce1a,0,0.0,2025-07-31 16:09:56,No,False,False
0x46400c7d7817663c9356f16b480057673f8b1162,0,0.0,2025-07-31 16:09:56,No,False,False
0x5018fe99451b5af8df795b6189e2920b65ad7c1c,0,0.0,2025-07-31 16:09:56,No,False,False
0x7ed2675e0ced7340089ab2acb1c8d6e2337c9ae8,0,0.0,2025-07-31 16:09:56,No,False,False
0x7f08f8b61cf2f1ce922caa9e6fbc57c7cb8a66e7,0,0.0,2025-07-31 16:09:56,No,False,False
0x0c635dc500222af8a12072922c6ac5a4fc536fac,0,0.0,2025-07-31 16:09:56,Expired,False,False
0x55fc5dda6b03d3ca89237ec34e5a657c4e8c6153,0,0.0,2025-07-31 16:09:56,No,False,False
0x9919c9f5cbbaa42cb3bea153e14e16f85fea5b5d,0,0.0,2025-07-31 16:09:56,No,False,False
0x0e41c798212c8219a173dac6f326827a00ac7849,0,0.0,2025-07-31 16:09:56,No,False,False
0x98e39a1129bdfbc4ef389139310f6d1b80c61cbb,0,0.0,2025-07-31 16:09:56,No,False,False
0x560a69123b0c0220ba6bceb63d33b0bf9fb723fb,0,0.0,2025-07-31 16:09:56,No,False,False
0xe5086a552d79fe2501684697240cd533485e8835,0,0.0,2025-07-31 16:09:56,No,False,False
0x8d34285c047d5d8757551baa45e471e62e72f468,0,0.0,2025-07-31 16:09:56,No,False,False
0x8e57f002866706fcfbdf78756dc45f93841dc783,0,0.0,2025-07-31 16:09:56,No,False,False
0x8e6c5bb502a92f0ed8d8cdfaf83f2841e68c1c7f,0,0.0,2025-07-31 16:09:56,No,False,False
0xe2395a9a76bdcd1e4c65f8f5a7f8c99b53f6c843,0,0.0,2025-07-31 16:09:56,No,False,False
0x37b9f33dba2595bac4bd275ac93dc679ee45d988,0,0.0,2025-07-31 16:09:56,No,False,False
0xddf2a1f9f5031b75772eaf8ff6178859177a722c,0,0.0,2025-07-31 16:09:56,No,False,False
0x17ede21b60c44a0139968e0d1d9a001d2bdc8f85,0,0.0,2025-07-31 16:09:56,No,False,False
0xbe9d12fc853b67cfdaae134e5b8178b9667bd2fb,0,0.0,2025-07-31 16:09:56,Expired,False,False
